comparison,comparison_label,source,goal,token,Ensembl_ID,Gene_name,n_donors_evaluable,n_donors_nonzero,n_cells_total,median_cells_per_donor,median_donor_effect,mean_donor_effect,min_donor_effect,max_donor_effect,n_donors_positive,n_donors_negative,sign_concordance,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,same_direction_pass_70
normal_to_lusc,NORMAL → LUSC,normal,lusc,1496,ENSG00000080608,PUM3,10,10,130,9.0,0.0026000142418618,0.0037500604014978,-0.0017894925549626,0.0111010186374187,8,2,0.8,0.0014831411830111,0.0062599402725075,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,652,ENSG00000049130,KITLG,2,2,2,1.0,0.0025997161865234,0.0025997161865234,-0.0036355257034301,0.008834958076477,1,1,0.5,-0.0036355257034301,0.008834958076477,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,18179,ENSG00000235750,KIAA0040,10,10,73,5.5,0.0025975657992211,0.0028995203879339,-0.0135693699121475,0.0152756050229072,7,3,0.7,-0.0019678884623754,0.0071290417954727,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,399,ENSG00000020181,ADGRA2,3,3,4,1.0,0.0025973320007324,0.0030014123767614,-0.0015808641910552,0.0079877693206071,2,1,0.6666666666666666,-0.0015808641910552,0.0079877693206071,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3668,ENSG00000109775,UFSP2,11,11,94,7.0,0.0025972095876932,0.0004699861993381,-0.0141071747057139,0.0163504712283611,6,5,0.5454545454545454,-0.0039028318873761,0.0049504427868398,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,4048,ENSG00000112599,GUCA1B,1,1,1,1.0,0.0025883316993713,0.0025883316993713,0.0025883316993713,0.0025883316993713,1,0,1.0,0.0025883316993713,0.0025883316993713,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,5692,ENSG00000125945,ZNF436,4,4,6,1.5,0.0025864541530609,0.0028300024569034,-0.000990942120552,0.007138043642044,3,1,0.75,-0.0002268180251121,0.005886822938919,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,3236,ENSG00000106105,GARS1,11,11,127,8.0,0.0025861717083237,0.0023629231814781,-0.0066108405590057,0.0161253903061151,6,5,0.5454545454545454,-0.0012780287182425,0.0063786624866749,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,16930,ENSG00000198912,C1orf174,12,12,95,4.0,0.0025840635101,-7.125741441790414e-05,-0.0255750119686126,0.0173704127470652,9,3,0.75,-0.0069470936511656,0.0059265829869589,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,1487,ENSG00000080371,RAB21,10,10,100,6.0,0.0025791227817535,0.0054523353730993,-0.0068983938544988,0.0350912511348724,6,4,0.6,-0.0015585788028048,0.0144267438141229,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,10047,ENSG00000158290,CUL4B,8,8,44,4.0,0.0025731206405907,0.0027415723759784,-0.0019912421703338,0.0075416266918182,7,1,0.875,0.000898601510562,0.0047702673421655,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,15335,ENSG00000185721,DRG1,11,11,138,7.0,0.0025727748870849,0.0020689917185641,-0.0048518691744123,0.0066415348814593,8,3,0.7272727272727273,0.0001371506891784,0.0038614253646393,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,2152,ENSG00000100031,GGT1,6,6,13,1.5,0.0025709594289461,0.0013598107629352,-0.0123616009950637,0.0108626008033752,4,2,0.6666666666666666,-0.0046460421548949,0.006214719514052,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,12421,ENSG00000169710,FASN,6,6,26,4.5,0.0025707299688032,0.0022664530468838,-0.011808156967163,0.0142003248135248,3,3,0.5,-0.0056056961402415,0.0100016185038146,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,8334,ENSG00000143653,SCCPDH,8,8,40,3.5,0.0025689527392387,-0.003090556375941,-0.0325529538094997,0.0129609207312266,5,3,0.625,-0.0135970857886907,0.0054389047176421,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,4026,ENSG00000112406,HECA,12,12,215,10.0,0.0025655926490316,0.0023642819477969,-0.0052392897196114,0.0083130598068237,9,3,0.75,0.0002972923394114,0.0043791706417088,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,3769,ENSG00000110717,NDUFS8,12,12,296,13.5,0.0025640014752552,0.0035008830175698,-0.0065976195037364,0.0167378634214401,9,3,0.75,0.0005699912884322,0.0067642101467355,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,14987,ENSG00000184009,ACTG1,12,12,1031,45.0,0.0025573356764479,0.0029208369850594,0.0003980662440881,0.0058344447212975,12,0,1.0,0.0020299787602165,0.0038102178604218,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,2371,ENSG00000100813,ACIN1,12,12,168,6.0,0.0025521111029845,0.0024654661329714,-0.0015965104103088,0.0079339710064232,8,4,0.6666666666666666,0.0009070117230375,0.0041032642996623,True,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3274,ENSG00000106384,MOGAT3,1,1,1,1.0,0.0025508999824523,0.0025508999824523,0.0025508999824523,0.0025508999824523,1,0,1.0,0.0025508999824523,0.0025508999824523,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,12119,ENSG00000168329,CX3CR1,11,11,95,3.0,0.0025496743619441,0.0054736137775835,-0.0013455181486076,0.0163574442267417,9,2,0.8181818181818182,0.0016516629316505,0.0096260825881141,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,16998,ENSG00000203797,DDO,1,1,1,1.0,0.0025461316108703,0.0025461316108703,0.0025461316108703,0.0025461316108703,1,0,1.0,0.0025461316108703,0.0025461316108703,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,12035,ENSG00000167987,VPS37C,7,7,18,3.0,0.0025453269481658,0.0068698461566652,-0.0005605816841125,0.0214129500091075,5,2,0.7142857142857143,0.0016301924229732,0.0131338705840919,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,10334,ENSG00000160469,BRSK1,5,5,10,1.0,0.002540498971939,0.0077940963208675,-0.0010622292757034,0.0222741961479187,4,1,0.8,0.0009363144449889,0.0148176731169223,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,14866,ENSG00000183475,ASB7,8,8,17,2.0,0.0025402487566073,0.0025387165757517,-0.0023212631543477,0.0060721933841705,7,1,0.875,0.0005966227812071,0.0042642698002358,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,1980,ENSG00000092964,DPYSL2,8,8,46,2.5,0.0025402382016181,0.002502632324769,-0.0128159523010253,0.01397172609965,4,4,0.5,-0.0026970966511695,0.0070998911427579,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,5852,ENSG00000127511,SIN3B,8,8,35,4.5,0.002539624646306,0.0038635536769611,-0.0026543016235033,0.0159060470759868,6,2,0.75,0.000472837833222,0.0079636087954147,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,5551,ENSG00000125166,GOT2,8,8,58,4.5,0.0025391555391252,0.0031305062088117,-0.0019172396172176,0.0138617932796478,6,2,0.75,0.000649876767795,0.0063873958962712,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,2498,ENSG00000101391,CDK5RAP1,11,11,104,5.0,0.002538725733757,0.0069897942607954,-0.0075008745881773,0.0731005072593689,8,3,0.7272727272727273,-0.0012843198131979,0.0208749767897618,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,8136,ENSG00000142546,NOSIP,12,12,347,17.5,0.0025373338073303,0.0014547588298914,-0.0125015899538993,0.0092091262340545,8,4,0.6666666666666666,-0.0016573983352667,0.0041002796679168,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3470,ENSG00000108219,TSPAN14,11,11,206,7.0,0.0025365403853356,0.0036806321789497,-0.0006996169686317,0.0126114354601928,9,2,0.8181818181818182,0.0015161782330064,0.0061553304630696,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,2125,ENSG00000099949,LZTR1,9,9,38,2.0,0.0025353729724884,0.0118115002197431,-0.0031871199607849,0.0675654113292694,7,2,0.7777777777777778,0.0012860033615135,0.0262399566822604,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,14235,ENSG00000179593,ALOX15B,4,4,4,1.0,0.0025348663330078,0.0264996513724327,-0.0020366609096527,0.1029655337333679,3,1,0.75,-0.0010151267051696,0.0772257521748542,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,6560,ENSG00000132768,DPH2,9,9,34,2.0,0.0025337636470794,0.0082050241897871,-0.0112797655165195,0.0675748288631439,5,4,0.5555555555555556,-0.0026671230860836,0.0249145224914644,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,5078,ENSG00000121022,COPS5,10,10,114,6.5,0.0025336141032832,0.0054860653029584,-0.0097026072797321,0.037701666355133,6,4,0.6,-0.0015016060475696,0.0147668220118138,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,4883,ENSG00000119638,NEK9,11,11,77,3.0,0.0025335103273391,0.0029465655588414,-0.0007678568363189,0.0124096969763437,8,3,0.7272727272727273,0.0011598004218057,0.0052449737139271,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,16175,ENSG00000196290,NIF3L1,8,8,33,3.5,0.0025329364463686,0.0045195938497217,-0.0056697130203247,0.0289940188328425,6,2,0.75,-0.0007497484413695,0.0118369380099995,False,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,4044,ENSG00000112576,CCND3,12,12,754,32.5,0.0025316086826669,0.0030259516370694,-0.0045160949230194,0.0080471768975257,11,1,0.9166666666666666,0.0010642744347337,0.0047507719080202,True,True
normal_to_lusc,NORMAL → LUSC,normal,lusc,6872,ENSG00000134871,COL4A2,3,3,10,3.0,0.0025302569071451,0.0009556029819779,-0.0056185126304626,0.0059550646692514,2,1,0.6666666666666666,-0.0056185126304626,0.0059550646692514,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,12812,ENSG00000171462,DLK2,5,5,7,1.0,0.0025295913219451,0.0050487108528614,-0.0201734937727451,0.0267213657498359,3,2,0.6,-0.0109171465039253,0.0210145682096481,False,False
normal_to_lusc,NORMAL → LUSC,normal,lusc,3081,ENSG00000105409,ATP1A3,7,7,19,3.0,0.0025291708298027,-0.0019765950783732,-0.0424052104353904,0.0173617551724116,4,3,0.5714285714285714,-0.016871886860047,0.0080573198535213,False,False
